Year,ISO3c,country,perc_Gold,perc_Silver,perc_Bronze
2016,USA,United States,14.98371336,12.09150327,10.55555556
2016,GBR,Great Britain,8.794788274,7.516339869,4.722222222
2016,CHN,China,8.469055375,5.882352941,7.222222222
2016,RUS,Russia,6.188925081,5.555555556,5.555555556
2016,DEU,Germany,5.537459283,3.267973856,4.166666667
2016,JPN,Japan,3.908794788,2.614379085,5.833333333
2016,FRA,France,3.25732899,5.882352941,3.888888889
2016,KOR,South Korea,2.931596091,0.980392157,2.5
2016,ITA,Italy,2.605863192,3.921568627,2.222222222
2016,AUS,Australia,2.605863192,3.594771242,2.777777778
2016,NLD,Netherlands,2.605863192,2.287581699,1.111111111
2016,HUN,Hungary,2.605863192,0.980392157,1.111111111
2016,BRA,Brazil,2.280130293,1.960784314,1.666666667
2016,ESP,Spain,2.280130293,1.307189542,1.666666667
2016,KEN,Kenya,1.954397394,1.960784314,0.277777778
2016,JAM,Jamaica,1.954397394,0.980392157,0.555555556
2016,HRV,Croatia,1.628664495,0.980392157,0.555555556
2016,CUB,Cuba,1.628664495,0.653594771,1.111111111
2016,NZL,New Zealand,1.302931596,2.941176471,1.388888889
2016,CAN,Canada,1.302931596,0.980392157,4.166666667
2016,UZB,Uzbekistan,1.302931596,0.653594771,1.944444444
2016,KAZ,Kazakhstan,0.977198697,1.633986928,2.777777778
2016,COL,Colombia,0.977198697,0.653594771,0.833333333
2016,CHE,Switzerland,0.977198697,0.653594771,0.555555556
2016,IRN,Iran,0.977198697,0.326797386,1.111111111
2016,GRC,Greece,0.977198697,0.326797386,0.555555556
2016,ARG,Argentina,0.977198697,0.326797386,0
2016,DNK,Denmark,0.651465798,1.960784314,1.944444444
2016,SWE,Sweden,0.651465798,1.960784314,0.833333333
2016,ZAF,South Africa,0.651465798,1.960784314,0.555555556
2016,UKR,Ukraine,0.651465798,1.633986928,1.111111111
2016,SRB,Serbia,0.651465798,1.307189542,0.555555556
2016,POL,Poland,0.651465798,0.980392157,1.666666667
2016,PRK,North Korea,0.651465798,0.980392157,0.555555556
2016,BEL,Belgium,0.651465798,0.653594771,0.555555556
2016,THA,Thailand,0.651465798,0.653594771,0.555555556
2016,SVK,Slovakia,0.651465798,0.653594771,0
2016,GEO,Georgia,0.651465798,0.326797386,1.111111111
2016,AZE,Azerbaijan,0.325732899,2.287581699,2.777777778
2016,BLR,Belarus,0.325732899,1.307189542,1.111111111
2016,TUR,Turkey,0.325732899,0.980392157,1.111111111
2016,ARM,Armenia,0.325732899,0.980392157,0
2016,CZE,Czech Republic,0.325732899,0.653594771,1.944444444
2016,ETH,Ethiopia,0.325732899,0.653594771,1.388888889
2016,SVN,Slovenia,0.325732899,0.653594771,0.277777778
2016,IDN,Indonesia,0.325732899,0.653594771,0
2016,ROU,Romania,0.325732899,0.326797386,0.555555556
2016,BHR,Bahrain,0.325732899,0.326797386,0
2016,VNM,Vietnam,0.325732899,0.326797386,0
2016,TWN,Chinese Taipei,0.325732899,0,0.555555556
2016,BHS,Bahamas,0.325732899,0,0.277777778
2016,CIV,Cote d'Ivoire,0.325732899,0,0.277777778
2016,IOA,Individual Olympic Athletes,0.325732899,0,0.277777778
2016,FJI,Fiji,0.325732899,0,0
2016,JOR,Jordan,0.325732899,0,0
2016,PRI,Puerto Rico,0.325732899,0,0
2016,SGP,Singapore,0.325732899,0,0
2016,TJK,Tajikistan,0.325732899,0,0
